date,customer_name,category,label,voucher_no,amount
2026-08-01,SRS Imports & Exports,Service,Service,DIL/135/26-27,3970.0
2026-08-01,Cargomar Private Limited,Service,Service,DIL/136/26-27,41200.0
2026-08-03,Balaji X-Ray,Sales,Sales,0368/2026-2027,2470.0
2026-08-03,Cliffline Shipping India Private Limited [RENT],Rental,Rental Income,006/26-27,29800.0
2026-08-03,Mani & Co,Sales,Sales,0369/2026-2027,1750.0
2026-08-03,Manoj Kumar,Sales,Sales,0370/2026-2027,366.0
2026-08-04,Thomas Fdo & Co,Service,Service,DIL/137/26-27,1600.0
2026-08-04,Omega Fertility Centre,Sales,Sales,0371/2026-2027,1140.0
2026-08-04,Madasamy,Sales,Sales,0372/2026-2027,346.0
2026-08-04,Rosemount Shipping India Private Limited,AMC,AMC Maintenance,DIL/AMC/15/26-27,12700.0
2026-08-05,Dr.Samuel Prapthik Dilip,Rental,Rental Income,007/26-27,15500.0
2026-08-05,RR Hospital,Sales,Sales,0373/2026-2027,814.0
2026-08-05,Mani & Co,Sales,Sales,0374/2026-2027,1380.0
2026-08-05,Theva & Co,Sales,Sales,0375/2026-2027,3120.0
2026-08-05,Kanagaraj,Sales,Sales,0376/2026-2027,3340.0
2026-08-05,Techdew UX Design & Consulting Pvt Ltd,Service,Service,DIL/138/26-27,662.0
2026-08-05,Mervin Joseph,Sales,Sales,0377/2026-2027,649.0
2026-08-05,Avm Hospital,Service,Service,DIL/139/26-27,1140.0
2026-08-05,ROSHAN TECHNOLOGIES,Sales,Sales,0378/2026-2027,2160.0
2026-08-06,Sundaram Arulraj Hospital,Sales,Sales,0379/2026-2027,1860.0
2026-08-06,APC Mahalakshmi College for Women,Sales,Sales,0380/2026-2027,8690.0
2026-08-06,APC Veerabahu Mat.Hr.Sec School,Service,Service,DIL/140/26-27,491.0
2026-08-06,Mangalam Fibre Works Private Limited,Service,Service,DIL/141/26-27,905.0
2026-08-06,Parvathy Woven Sacks Industries,Sales,Sales,0381/2026-2027,1970.0
2026-08-07,Parvathy Traders,Sales,Sales,0382/2026-2027,708.0
2026-08-07,Delight Public School,Service,Service,DIL/142/26-27,1420.0
2026-08-07,Theva & Co,Service,Service,DIL/143/26-27,2470.0
2026-08-07,Parvathy Woven Sacks Industries,Sales,Sales,0383/2026-2027,573.0
2026-08-07,Ant Fintech (Opc) Private Limited,Sales,Sales,0384/2026-2027,236100.0
2026-08-07,Avm Hospital,Service,Service,DIL/144/26-27,1630.0
2026-08-10,Babu Car Jewels,Service,Service,DIL/145/26-27,346.0
2026-08-10,Mr.Saravanan,Sales,Sales,0385/2026-2027,124.0
2026-08-10,Parvathy Woven Sacks Industries,Sales,Sales,0386/2026-2027,359.0
2026-08-11,Subramany Logistics,Sales,Sales,0387/2026-2027,454.0
2026-08-11,Sakthi,Sales,Sales,0388/2026-2027,152.0
2026-08-11,Babu Car Jewels,Service,Service,DIL/146/26-27,447.0
2026-08-11,Shadiram & Sons Pvt Ltd,Sales,Sales,0389/2026-2027,3230.0
2026-08-11,Manika Plastech Limited,Sales,Sales,0390/2026-2027,135.0
2026-08-11,RKV Fright Services Pvt Ltd,Sales,Sales,0391/2026-2027,595.0
2026-08-11,APC Veerabahu Mat.Hr.Sec School,Service,Service,DIL/147/26-27,603.0
2026-08-11,Jebakumar,Service,Service,DIL/148/26-27,664.0
2026-08-11,Gaming Centre,Sales,Sales,0392/2026-2027,457.0
2026-08-11,Kala,Sales,Sales,0393/2026-2027,1560.0
2026-08-12,Madasamy,Sales,Sales,0394/2026-2027,282.0
2026-08-12,Cargomar Private Limited,AMC,AMC Maintenance,DIL/AMC/16/26-27,42500.0
2026-08-12,Dr.Samuel Prapthik Dilip,Service,Service,DIL/149/26-27,16200.0
2026-08-13,Innovative Aqua Foods,Sales,Sales,0395/2026-2027,14500.0
2026-08-13,Priya Packaging,Sales,Sales,0396/2026-2027,5280.0
2026-08-13,APC Mahalakshmi College for Women,Sales,Sales,0397/2026-2027,6100.0
2026-08-13,Subramany Logistics,Sales,Sales,0398/2026-2027,458.0
2026-08-13,Subramany Logistics,Sales,Sales,0399/2026-2027,427.0
2026-08-13,Rosemount Shipping India Private Limited,Service,Service,DIL/150/26-27,12600.0
2026-08-13,Cargomar Private Limited,Service,Service,DIL/151/26-27,46300.0
2026-08-14,Pt Shipping Private Limited,Sales,Sales,0400/2026-2027,6430.0
2026-08-14,Bethesda Lab,Sales,Sales,0401/2026-2027,1510.0
