date,customer_name,category,label,voucher_no,amount
2026-06-01,APC Mahalakshmi College for Women,Sales,Sales,0162/2026-2027,7630.0
2026-06-01,Priya Packaging,Service,Service,DIL/071/26-27,513.0
2026-06-01,Gaming Centre,Sales,Sales,0163/2026-2027,237.0
2026-06-01,Theva & Co,Sales,Sales,0164/2026-2027,441.0
2026-06-01,Dr.Samuel Prapthik Dilip,Rental,Rental Income,004/26-27,21900.0
2026-06-02,Arun Digital,Sales,Sales,0165/2026-2027,729.0
2026-06-02,Tsc Purple Private Limited,Service,Service,DIL/072/26-27,1510.0
2026-06-02,Jenirich,Service,Service,DIL/073/26-27,459.0
2026-06-02,Sakthi,Sales,Sales,0166/2026-2027,167.0
2026-06-02,Omega Fertility Centre,Service,Service,DIL/074/26-27,365.0
2026-06-02,Sri Karuppasamy Uma Jewellers Pvt Ltd,Service,Service,DIL/075/26-27,1560.0
2026-06-03,M/s SMP Traders,Sales,Sales,0167/2026-2027,929.0
2026-06-03,New Bus Stand,Sales,Sales,0168/2026-2027,301.0
2026-06-03,RR Hospital,Sales,Sales,0169/2026-2027,571.0
2026-06-03,Madasamy,Sales,Sales,0170/2026-2027,270.0
2026-06-03,Ant Fintech (Opc) Private Limited,Sales,Sales,0171/2026-2027,154200.0
2026-06-03,Tsc Purple Private Limited,Service,Service,DIL/076/26-27,1530.0
2026-06-03,Mani & Co,Service,Service,DIL/077/26-27,969.0
2026-06-04,Theva & Co,Service,Service,DIL/078/26-27,2190.0
2026-06-04,Thomas Fdo & Co,Service,Service,DIL/079/26-27,1390.0
2026-06-04,Parvathy Woven Sacks Industries,Service,Service,DIL/080/26-27,2290.0
2026-06-04,Athavan Impex,Sales,Sales,0172/2026-2027,689.0
2026-06-04,Rosemount Shipping India Private Limited,AMC,AMC Maintenance,DIL/AMC/9/26-27,13800.0
2026-06-05,The Deputy Director MPEDA,Sales,Sales,0173/2026-2027,1310.0
2026-06-05,Manika Plastech Limited,Sales,Sales,0174/2026-2027,152.0
2026-06-05,Bethesda Lab,Sales,Sales,0175/2026-2027,1830.0
2026-06-05,Deva Balan,Sales,Sales,0176/2026-2027,373.0
2026-06-05,Sivakumar,Sales,Sales,0177/2026-2027,958.0
2026-06-05,Malairaja,Sales,Sales,0178/2026-2027,28600.0
2026-06-05,Parvathy Traders,Sales,Sales,0179/2026-2027,545.0
2026-06-05,Shadiram & Sons Pvt Ltd,Sales,Sales,0180/2026-2027,3020.0
2026-06-05,Thomas Fdo & Co,Service,Service,DIL/081/26-27,1710.0
2026-06-05,Sundaram Arulraj Hospital,Sales,Sales,0181/2026-2027,769.0
2026-06-05,Thomas Fdo & Co,Service,Service,DIL/082/26-27,1730.0
2026-06-08,Sakthi,Sales,Sales,0182/2026-2027,208.0
2026-06-08,Arun Digital,Sales,Sales,0183/2026-2027,557.0
2026-06-08,Deva Balan,Sales,Sales,0184/2026-2027,265.0
2026-06-08,Mr.Gopinath,Sales,Sales,0185/2026-2027,70700.0
2026-06-08,The Deputy Director MPEDA,Sales,Sales,0186/2026-2027,1430.0
2026-06-08,Bethesda Lab,Sales,Sales,0187/2026-2027,13000.0
2026-06-09,Aanand CCTV,Sales,Sales,0188/2026-2027,248.0
2026-06-09,Priya Packaging,Sales,Sales,0189/2026-2027,199.0
2026-06-09,Santhanam Packaging,Sales,Sales,0190/2026-2027,790.0
2026-06-09,Parvathy Poly Bags,Service,Service,DIL/083/26-27,2380.0
2026-06-09,Bethesda Lab,Sales,Sales,0191/2026-2027,1990.0
2026-06-09,Parvathy Woven Sacks Industries,Sales,Sales,0192/2026-2027,1800.0
2026-06-09,Paul and Company,Service,Service,DIL/084/26-27,2360.0
2026-06-09,The Deputy Director MPEDA,Sales,Sales,0193/2026-2027,1740.0
2026-06-10,Shadiram & Sons Pvt Ltd,AMC,AMC Maintenance,DIL/AMC/10/26-27,15000.0
2026-06-10,Mr.Gopinath,Sales,Sales,0194/2026-2027,70000.0
2026-06-10,The Deputy Director MPEDA,AMC,AMC Maintenance,DIL/AMC/11/26-27,3020.0
2026-06-10,Mr.Gopinath,Sales,Sales,0195/2026-2027,38100.0
2026-06-10,APC Mahalakshmi College for Women,Sales,Sales,0196/2026-2027,5880.0
2026-06-10,Shadiram & Sons Pvt Ltd,Sales,Sales,0197/2026-2027,3350.0
2026-06-11,Sivaprakasam,Sales,Sales,0198/2026-2027,824.0
2026-06-12,Manika Plastech Limited,Sales,Sales,0199/2026-2027,135.0
2026-06-12,Parvathy Traders,Sales,Sales,0200/2026-2027,538.0
2026-06-12,Gaming Centre,Sales,Sales,0201/2026-2027,450.0
2026-06-13,Mr.Saravanan,Sales,Sales,0202/2026-2027,73.0
2026-06-13,"Dahnay Logistics Pvt Ltd.,",Sales,Sales,0203/2026-2027,748.0
2026-06-15,Nexus  India,Sales,Sales,0204/2026-2027,50.0
2026-06-15,Shadiram & Sons Pvt Ltd,Sales,Sales,0205/2026-2027,3950.0
2026-06-15,The Pastorate Chairman,Sales,Sales,0206/2026-2027,564.0
2026-06-15,"Subramany & Co Exports Pvt Ltd.,",Sales,Sales,0207/2026-2027,49600.0
2026-06-15,Thomas Fdo & Co,Sales,Sales,0208/2026-2027,3360.0
2026-06-15,Techdew UX Design & Consulting Pvt Ltd,Service,Service,DIL/085/26-27,920.0
2026-06-15,Parvathy Poly Bags,Sales,Sales,0209/2026-2027,509.0
2026-06-15,Madura Coats Workers Cooperative Store Limited,Service,Service,DIL/086/26-27,591.0
2026-06-15,Sanjeev,Sales,Sales,0210/2026-2027,1960.0
2026-06-16,Sakthi,Sales,Sales,0211/2026-2027,165.0
2026-06-16,Durga Salt,Sales,Sales,0212/2026-2027,2550.0
2026-06-16,Mani & Co,Sales,Sales,0213/2026-2027,2340.0
2026-06-17,Thomas Fdo & Co,Service,Service,DIL/087/26-27,4030.0
2026-06-17,Santhanam Packaging,Sales,Sales,0214/2026-2027,1080.0
2026-06-17,Thomas Fdo & Co,Service,Service,DIL/088/26-27,1470.0
2026-06-17,Innovative Aqua Foods,Sales,Sales,0215/2026-2027,19100.0
2026-06-17,Shadiram & Sons Pvt Ltd,Sales,Sales,0216/2026-2027,4050.0
2026-06-18,Omega Fertility Centre,Sales,Sales,0217/2026-2027,873.0
2026-06-18,Nexus  India,Sales,Sales,0218/2026-2027,57.0
2026-06-18,Avm Hospital,Service,Service,DIL/089/26-27,1090.0
2026-06-18,Manika Plastech Limited,Sales,Sales,0219/2026-2027,136.0
2026-06-19,APC Veerabahu Mat.Hr.Sec School,Service,Service,DIL/090/26-27,739.0
2026-06-19,APC Veerabahu Mat.Hr.Sec School,Sales,Sales,0220/2026-2027,739500.0
2026-06-19,Priya Packaging,Sales,Sales,0221/2026-2027,176.0
2026-06-19,Mani & Co,Sales,Sales,0222/2026-2027,1740.0
2026-06-19,Nippon Ganesan,Service,Service,DIL/091/26-27,755.0
2026-06-19,Mervin Joseph,Sales,Sales,0223/2026-2027,889.0
2026-06-19,Abirami Timber Company,Sales,Sales,0224/2026-2027,391.0
2026-06-19,Aanand CCTV,Sales,Sales,0225/2026-2027,238.0
2026-06-19,RKV Fright Services Pvt Ltd,Sales,Sales,0226/2026-2027,508.0
2026-06-20,Theva & Co,Sales,Sales,0227/2026-2027,3040.0
2026-06-20,Lordson Newton,Sales,Sales,0228/2026-2027,70800.0
2026-06-20,Santhanam Packaging,Sales,Sales,0229/2026-2027,718.0
2026-06-20,Sri Karuppasamy Uma Jewellers Pvt Ltd,Service,Service,DIL/092/26-27,2500.0
2026-06-22,Sri Jeyasakthi Home Doors Private Limited,Sales,Sales,0230/2026-2027,7680.0
2026-06-22,Abirami Timber Company,Sales,Sales,0231/2026-2027,256.0
2026-06-22,Thinakaran,Sales,Sales,0232/2026-2027,799.0
2026-06-22,Esvara Agency,Sales,Sales,0233/2026-2027,979.0
2026-06-23,RR Hospital,Sales,Sales,0234/2026-2027,953.0
2026-06-23,Priya Packaging,Sales,Sales,0235/2026-2027,210.0
2026-06-23,Caught Before Ship Solutions Private Limited,Sales,Sales,0236/2026-2027,139800.0
2026-06-23,APS AQUA,Sales,Sales,0237/2026-2027,4140.0
2026-06-23,Athavan Impex,Sales,Sales,0238/2026-2027,713.0
2026-06-23,Santhanam Packaging,Sales,Sales,0239/2026-2027,2520.0
2026-06-24,Pt Shipping Private Limited,Sales,Sales,0240/2026-2027,723.0
2026-06-24,ROSHAN TECHNOLOGIES,Sales,Sales,0241/2026-2027,2660.0
2026-06-25,Sanjeev,Sales,Sales,0242/2026-2027,3630.0
2026-06-25,ROSHAN TECHNOLOGIES,Sales,Sales,0243/2026-2027,1640.0
2026-06-25,Sivaprakasam,Sales,Sales,0244/2026-2027,663.0
2026-06-26,Mani & Co,Service,Service,DIL/093/26-27,1040.0
2026-06-26,Parvathy Traders,Sales,Sales,0245/2026-2027,636.0
2026-06-26,Theva & Co,Service,Service,DIL/094/26-27,1440.0
2026-06-26,RR Hospital,Service,Service,DIL/095/26-27,768.0
2026-06-26,APC Veerabahu Mat.Hr.Sec School,Service,Service,DIL/096/26-27,633.0
2026-06-26,Sundaram Arulraj Hospital,Sales,Sales,0246/2026-2027,617.0
2026-06-26,Priya Packaging,Sales,Sales,0247/2026-2027,219.0
2026-06-27,Athavan Impex,Sales,Sales,0248/2026-2027,474.0
2026-06-27,Shadiram & Sons Pvt Ltd,Sales,Sales,0249/2026-2027,2620.0
2026-06-27,Mervin Joseph,Sales,Sales,0250/2026-2027,581.0
2026-06-27,APC Mahalakshmi College for Women,Sales,Sales,0251/2026-2027,8620.0
2026-06-27,Jebakumar,Service,Service,DIL/097/26-27,523.0
2026-06-29,APC Veerabahu Mat.Hr.Sec School,Sales,Sales,0252/2026-2027,902.0
2026-06-29,Abirami Timber Company,Sales,Sales,0253/2026-2027,245.0
2026-06-29,"Subramany & Co Exports Pvt Ltd.,",Sales,Sales,0254/2026-2027,39800.0
2026-06-29,Madura Coats Workers Cooperative Store Limited,Service,Service,DIL/098/26-27,835.0
2026-06-30,Parvathy Poly Bags,Service,Service,DIL/099/26-27,1920.0
2026-06-30,Ant Fintech (Opc) Private Limited,Sales,Sales,0255/2026-2027,150800.0
2026-06-30,Jenirich,Service,Service,DIL/100/26-27,430.0
