date,customer_name,category,label,voucher_no,amount
2026-05-01,APC Veerabahu Mat.Hr.Sec School,Service,Service,DIL/038/26-27,627.0
2026-05-01,Sri Jeyasakthi Home Doors Private Limited,Sales,Sales,0087/2026-2027,6480.0
2026-05-01,ROSHAN TECHNOLOGIES,Sales,Sales,0088/2026-2027,2390.0
2026-05-01,Theva & Co,Sales,Sales,0089/2026-2027,3390.0
2026-05-02,Durga Salt,Sales,Sales,0090/2026-2027,2940.0
2026-05-02,Avm Hospital,Service,Service,DIL/039/26-27,2040.0
2026-05-04,Mr.Gopinath,Sales,Sales,0091/2026-2027,43800.0
2026-05-04,Ant Fintech (Opc) Private Limited,Sales,Sales,0092/2026-2027,165800.0
2026-05-04,The Pastorate Chairman,Sales,Sales,0093/2026-2027,2960.0
2026-05-04,Mervin Joseph,Sales,Sales,0094/2026-2027,1020.0
2026-05-04,Deva Balan,Sales,Sales,0095/2026-2027,441.0
2026-05-05,Manoj Kumar,Sales,Sales,0096/2026-2027,551.0
2026-05-05,Kala,Sales,Sales,0097/2026-2027,1750.0
2026-05-05,Techdew UX Design & Consulting Pvt Ltd,Service,Service,DIL/040/26-27,530.0
2026-05-05,Bethesda Lab,Sales,Sales,0098/2026-2027,9100.0
2026-05-05,Thomas Fdo & Co,Service,Service,DIL/041/26-27,1840.0
2026-05-05,Thomas Fdo & Co,Sales,Sales,0099/2026-2027,2350.0
2026-05-05,The Pastorate Chairman,Sales,Sales,0100/2026-2027,1890.0
2026-05-06,Jenirich,Service,Service,DIL/042/26-27,431.0
2026-05-06,Sundaram Arulraj Hospital,Sales,Sales,0101/2026-2027,758.0
2026-05-06,APC Veerabahu Mat.Hr.Sec School,Service,Service,DIL/043/26-27,517.0
2026-05-06,"Dahnay Logistics Pvt Ltd.,",Sales,Sales,0102/2026-2027,1070.0
2026-05-06,APC Veerabahu Mat.Hr.Sec School,Sales,Sales,0103/2026-2027,726800.0
2026-05-06,Priya Packaging,Service,Service,DIL/044/26-27,514.0
2026-05-06,Techdew UX Design & Consulting Pvt Ltd,Service,Service,DIL/045/26-27,682.0
2026-05-07,Babu Car Jewels,Service,Service,DIL/046/26-27,434.0
2026-05-07,Priya Packaging,Service,Service,DIL/047/26-27,517.0
2026-05-07,Shadiram & Sons Pvt Ltd,Sales,Sales,0104/2026-2027,3070.0
2026-05-08,Jebakumar,Service,Service,DIL/048/26-27,733.0
2026-05-08,Esvara Agency,Service,Service,DIL/049/26-27,2410.0
2026-05-08,Jeffe,Service,Service,DIL/050/26-27,2820.0
2026-05-08,Sri Jeyasakthi Home Doors Private Limited,Sales,Sales,0105/2026-2027,6500.0
2026-05-11,Marvish Prasanna,Sales,Sales,0106/2026-2027,1940.0
2026-05-11,Balaji X-Ray,Sales,Sales,0107/2026-2027,2100.0
2026-05-11,APC Veerabahu Mat.Hr.Sec School,Sales,Sales,0108/2026-2027,937.0
2026-05-11,Jebakumar,Service,Service,DIL/051/26-27,676.0
2026-05-12,Bethesda Lab,Sales,Sales,0109/2026-2027,8250.0
2026-05-12,APC Veerabahu Mat.Hr.Sec School,Sales,Sales,0110/2026-2027,807.0
2026-05-12,Sakthi,Sales,Sales,0111/2026-2027,175.0
2026-05-13,Theva & Co,Service,Service,DIL/052/26-27,1400.0
2026-05-13,Thomas Fdo & Co,Service,Service,DIL/053/26-27,1510.0
2026-05-13,Thomas Fdo & Co,Service,Service,DIL/054/26-27,1160.0
